0,other,0,0,1,0.67,1,9,S0,58233,25,tcp
0,other,0,0,0,0.75,0,0,S0,40534,21320,tcp
0,other,0,0,0,0.8,1,1,S0,1344,445,tcp
0,other,0,0,1,0.83,2,26,S0,52719,25,tcp
0.000063,other,0,0,0,0.86,1,11,REJ,51143,25,tcp
0,other,0,0,0,0.8,54,55,S0,3388,445,tcp
2.996541,other,0,0,0,0.83,0,27,S0,44095,25,tcp
0,other,0,0,1,0.86,1,28,S0,42756,25,tcp
0,other,0,0,0,0.88,1,14,S0,40975,25,tcp
0,other,0,0,0,0.89,0,1,S0,26977,143,tcp
0,other,0,0,0,0.9,0,0,S0,25222,445,tcp
4.208057,other,128,209,1,0.91,53,54,SF,3616,445,tcp
0.000041,other,0,0,0,0,2,12,REJ,51143,25,tcp
2.889362,other,0,0,0,0,94,98,S0,3850,139,tcp
2.890602,other,0,0,1,0.5,53,54,S0,3848,445,tcp
2.895031,other,0,0,2,0.67,94,98,S0,3849,139,tcp
3.005604,other,0,0,0,0.75,6,23,S0,53389,25,tcp
0,other,0,0,0,0.8,0,0,S0,53909,3128,tcp
0,other,0,0,0,0.83,1,29,S0,44095,25,tcp
0,other,0,0,0,0.86,2,9,S0,58233,25,tcp
2.983384,other,0,0,0,0.88,0,0,S0,4965,445,tcp
0.999777,other,0,0,0,1,0,13,REJ,59289,25,tcp
2.888514,other,1632,0,0,0.8,22,66,S0,12650,6,udp
0,other,0,0,0,0.8,2,15,S0,40975,25,tcp
0.999205,other,0,0,1,0.83,0,14,REJ,50656,25,tcp
2.828992,other,0,0,0,0.71,0,0,S0,4654,445,tcp
0,other,0,0,0,0.67,0,0,S0,36460,53413,udp
0,other,0,0,0,1,7,20,S0,53389,25,tcp
2.886362,other,1632,0,0,1,8,16,S0,19073,17,udp
0,other,0,0,0,1,53,54,S0,3848,445,tcp
0,other,0,0,1,1,94,98,S0,3849,139,tcp
0,other,0,0,2,1,94,98,S0,3850,139,tcp
0,other,0,0,0,1,2,29,S0,44095,25,tcp
0,other,0,0,0,1,3,20,S0,52719,25,tcp
2.970528,other,0,0,0,0,0,1,S0,62285,445,tcp
2.998709,other,0,0,0,1,0,9,S0,46430,25,tcp
0,other,0,0,0,1,0,0,S0,42016,80,tcp
